(INR Crores/10 Millions),,,EICHER MOTORS LTD,,,,,,,,Mar-26,<< Latest available quarterly results,,,,,,,,,,,,,
Narration,Mar-17,Mar-18,Mar-19,Mar-20,Mar-21,Mar-22,Mar-23,Mar-24,Mar-25,Mar-26,Last 4 Quarters,Total 10 Yrs,Growth Trends:,10Yr,7Yr,5Yr,3Yr,TTM,,,,,,,
% Change in Sales,,27.46%,9.28%,-6.57%,-4.73%,18.09%,40.24%,14.50%,14.12%,24.04%,,,,,,,,,,,,,,,
Degree of Operating Leverage,,1.06,0.37,3.78,3.87,1.22,1.45,1.77,0.64,0.94,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Calculation of Maintenance Capex,,,,,,,,,,,,,,,,,,,,,,,,,
(Rs Crore),,,,,,,,,,,,,,,,,,,,,,,,,
Fixed Assets (PPE), 873 ," 1,502 "," 1,875 "," 2,378 "," 2,433 "," 2,424 "," 2,690 "," 2,914 "," 3,473 "," 4,385 ",,,,,,,,,,,,,,,
Net Sales," 7,033 "," 8,965 "," 9,797 "," 9,154 "," 8,720 "," 10,298 "," 14,442 "," 16,536 "," 18,870 "," 23,408 ",,,,,,,,,,,,,,,
PPE/Sales, 0.12 , 0.17 , 0.19 , 0.26 , 0.28 , 0.24 , 0.19 , 0.18 , 0.18 , 0.19 ,,,,,,,,,,,,,,,
Change in Sales,," 1,932 ", 832 , -643 , -433 ," 1,577 "," 4,144 "," 2,094 "," 2,335 "," 4,537 ",,,,,,,,,,,,,,,
Total Capex," 1,744 "," 2,145 ", 660 ," 1,508 "," 1,625 ", 983 ," 2,397 "," 2,834 "," 2,461 "," 2,964 ",,,,,,,,,,,,,,,
Growth Capex, -   ," 1,362 ", 587 , -454 , -305 ," 1,112 "," 2,922 "," 1,476 "," 1,646 "," 3,199 ",,,,,,,,,,,,,,,
Maintenance Capex," 1,744 ", 783 , 73 ," 1,962 "," 1,931 ", -129 , -525 ," 1,358 ", 815 , -235 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
ROA NBFC / BANKS,215.00%,93.03%,53.21%,45.56%,17.03%,30.54%,78.44%,65.39%,56.24%,54.72%,,,,,,,,,,,,,,,
NIM,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Sales,7033.36,8964.96,9797.06,9153.58,8720.35,10297.83,14442.18,16535.78,18870.35,23407.56,,,,,,,,,,,,,,,
Add Spends,108.69,75.51,55.58,48.94,56.33,40.97,30.59,27.18,16.79,15.05,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
%,1.55%,0.84%,0.57%,0.53%,0.65%,0.40%,0.21%,0.16%,0.09%,0.06%,,,,,,,,,,,,,,,
